week_number,start_date,end_date,weekly_pl,wins,losses,win_loss
44,2025-11-01,2025-11-01,-9.094947017729282e-13,0,1,LOSS
45,2025-11-03,2025-11-07,-7.744965986300485,1,3,LOSS
46,2025-11-10,2025-11-14,-21.31961270197462,1,1,LOSS
47,2025-11-21,2025-11-21,-33.947743763261315,0,1,LOSS
